ds,holiday
2013-12-24,school_holiday
2013-12-25,school_holiday
2013-12-26,school_holiday
2013-12-27,school_holiday
2013-12-28,school_holiday
2013-12-29,school_holiday
2013-12-30,school_holiday
2013-12-31,school_holiday
2014-01-01,state_holiday
2014-01-01,school_holiday
2014-01-02,school_holiday
2014-01-03,school_holiday
2014-01-04,school_holiday
2014-01-05,school_holiday
2014-01-06,school_holiday
2014-01-07,school_holiday
2014-01-08,school_holiday
2014-01-09,school_holiday
2014-01-10,school_holiday
2014-04-14,school_holiday
2014-04-15,school_holiday
2014-04-16,school_holiday
2014-04-17,school_holiday
2014-04-18,school_holiday
2014-04-19,school_holiday
2014-04-20,school_holiday
2014-04-21,school_holiday
2014-04-22,school_holiday
2014-04-23,school_holiday
2014-04-24,school_holiday
2014-04-25,school_holiday
2014-05-01,state_holiday
2014-05-29,state_holiday
2014-06-09,state_holiday
2014-06-19,state_holiday
2014-07-28,school_holiday
2014-07-29,school_holiday
2014-07-30,school_holiday
2014-08-01,school_holiday
2014-08-02,school_holiday
2014-08-03,school_holiday
2014-08-04,school_holiday
2014-08-05,school_holiday
2014-08-06,school_holiday
2014-08-07,school_holiday
2014-08-08,school_holiday
2014-08-09,school_holiday
2014-08-10,school_holiday
2014-08-11,school_holiday
2014-08-12,school_holiday
2014-08-13,school_holiday
2014-08-14,school_holiday
2014-08-15,school_holiday
2014-08-16,school_holiday
2014-08-17,school_holiday
2014-08-18,school_holiday
2014-08-19,school_holiday
2014-08-20,school_holiday
2014-08-21,school_holiday
2014-08-22,school_holiday
2014-08-23,school_holiday
2014-08-24,school_holiday
2014-08-25,school_holiday
2014-08-26,school_holiday
2014-08-27,school_holiday
2014-08-28,school_holiday
2014-08-29,school_holiday
2014-08-30,school_holiday
2014-08-31,school_holiday
2014-09-01,school_holiday
2014-09-02,school_holiday
2014-09-03,school_holiday
2014-09-04,school_holiday
2014-09-05,school_holiday
2014-10-03,state_holiday
2014-10-20,school_holiday
2014-10-21,school_holiday
2014-10-22,school_holiday
2014-10-23,school_holiday
2014-10-24,school_holiday
2014-10-25,school_holiday
2014-10-26,school_holiday
2014-10-27,school_holiday
2014-10-28,school_holiday
2014-10-29,school_holiday
2014-10-30,school_holiday
2014-10-31,school_holiday
2014-12-22,school_holiday
2014-12-23,school_holiday
2014-12-24,school_holiday
2014-12-25,school_holiday
2014-12-26,school_holiday
2014-12-27,school_holiday
2014-12-28,school_holiday
2014-12-29,school_holiday
2014-12-30,school_holiday
2014-12-31,school_holiday
2015-01-01,state_holiday
2015-01-01,school_holiday
2015-01-02,school_holiday
2015-01-03,school_holiday
2015-01-04,school_holiday
2015-01-05,school_holiday
2015-01-06,school_holiday
2015-01-07,school_holiday
2015-01-08,school_holiday
2015-01-09,school_holiday
2015-03-30,school_holiday
2015-03-31,school_holiday
2015-04-01,school_holiday
2015-04-02,school_holiday
2015-04-03,school_holiday
2015-04-04,school_holiday
2015-04-05,school_holiday
2015-04-06,school_holiday
2015-04-07,school_holiday
2015-04-08,school_holiday
2015-04-09,school_holiday
2015-04-10,school_holiday
2015-05-01,state_holiday
2015-05-14,state_holiday
2015-05-25,state_holiday
2015-06-04,state_holiday
2015-07-27,school_holiday
2015-07-28,school_holiday
2015-07-29,school_holiday
2015-07-30,school_holiday
2015-07-31,school_holiday
2015-08-01,school_holiday
2015-08-02,school_holiday
2015-08-03,school_holiday
2015-08-04,school_holiday
2015-08-05,school_holiday
2015-08-06,school_holiday
2015-08-07,school_holiday
2015-08-08,school_holiday
2015-08-09,school_holiday
2015-08-10,school_holiday
2015-08-11,school_holiday
2015-08-12,school_holiday
2015-08-13,school_holiday
2015-08-14,school_holiday
2015-08-15,school_holiday
2015-08-16,school_holiday
2015-08-17,school_holiday
2015-08-18,school_holiday
2015-08-19,school_holiday
2015-08-20,school_holiday
2015-08-21,school_holiday
2015-08-22,school_holiday
2015-08-23,school_holiday
2015-08-24,school_holiday
2015-08-25,school_holiday
2015-08-26,school_holiday
2015-08-27,school_holiday
2015-08-28,school_holiday
2015-08-29,school_holiday
2015-08-30,school_holiday
2015-08-31,school_holiday
2015-09-01,school_holiday
2015-09-02,school_holiday
2015-09-03,school_holiday
2015-09-04,school_holiday
